"Reference","Value","Footprint","Datasheet","DIGIKEY PART #","PRICE","Qty"
"C1","0.1u","Footprints:CAP_CL10_SAM-M","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","CL10B104KB8NNWC","$0.10","1"
"C2, C3","4.7u","Footprints:CAP_CL10_SAM-M","~https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/43/CL10A475KQ8NNWC_Spec.pdf","CL10A475KQ8NNWC","$0.10","2"
"FB1, FB2","FerriteBead","Footprints:IND_BLM15_0402_MUR-M","~https://www.murata.com/en-us/products/productdata/8796740059166/ENFA0018.pdf","BLM15AG121SN1D","$0.10","2"
"J1, J2","Conn_01x08_Pin","Footprints:CONN_1945151_PXC","~https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2450/Combicon%20Compact%20Series.pdf","1945151","$0.85","2"
"J3","Screw_Terminal_01x07","Footprints:CUI_TB001-500-07BE","~https://www.cuidevices.com/product/resource/tb001-500.pdf","TB001-500-07BE","$0.96","1"
"LS1","Speaker","","~https://www.cuidevices.com/product/resource/cds-4224-84sp.pdf","CDS-4224-84SP","$7.82","1"
"R1, R6","70K","Footprints:RESC2012X60N","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","ERJ-1GNF6982C","$0.10","2"
"R2-R5, R7-R9","10K","Footprints:RESC2012X60N","~https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FT10K0","$0.10","7"
"U1","LMV358IDR","Footprints:D8-M","https://rocelec.widen.net/view/pdf/hsbslfymvc/slos263w.pdf?t.download=true&u=5oefqw","LMV358IDR","$0.36","1"
"U2","MAX5187BEEG+","Footprints:21-0055H_24-M","https://www.analog.com/media/en/technical-documentation/data-sheets/max5187-max5190.pdf","MAX5187BEEG+","$7.57","1"
"U3-U5","PAM8304","Footprints:SOP65P490X110-8N","https://www.diodes.com/assets/Datasheets/PAM8304.pdf","PAM8304ASR","$0.70","3"
