"Reference","Value","Footprint","Datasheet","Digikey Part #","Price","Qty"
"C1, C3","1u","","~","","","2"
"C2","12n","Library:CAPC0603X33N","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61C123KE84-01.pdf","GRM033R61C123KE84D","$0.10","1"
"C4","100p","Library:CAPC0603X33N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101JA01-01.pdf","GRM0335C1H101JA01J","$0.10","1"
"C5","1p","Library:CAPC0603X33N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1E1R0WB01-01.pdf","GJM0335C1E1R0WB01D","$0.18","1"
"J1-J5","Conn_01x01_Pin","Library:ADAM-TECH_PH1-01-UA","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf","PH1-01-UA","$0.10","5"
"J6","Screw_Terminal_01x03","Library:CONN_1984976_PXC","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2515/COMBICON%20Spring-Cage%20PCB%20Term.%20Blocks.pdf","1984976","$0.62","1"
"MK1","Microphone_Condenser","Library:CMA_CUI_9P7X9P7_CUD","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cuidevices.com/product/resource/cma-4544pf-w.pdf","CMA-4544PF-W","$0.78","1"
"R1, R3","1k","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FT1K00","$0.10","2"
"R2, R4","100","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","RC0805FR-07100RL","$0.10","2"
"R5","1M","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FG1M00","$0.10","1"
"R6","1.8M","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","RC0805FR-071M8L","$0.10","1"
"R7","10K","Library:RESC2012X60N","~chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCF0805FT10K0","","1"
"R8","499k","Library:RESC2012X60N","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14","CR0805-FX-4993ELF","$0.10","1"
"R9","7.87M","Library:RES_R1206_ROM-M","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf","KTR18EZPF7874","$0.21","1"
"U1","MAX4466","Library:Mic_Op_Amp","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.analog.com/media/en/technical-documentation/data-sheets/max4465-max4469.pdf","MAX4466EXK+T","$0.90","1"
